arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x4).
att(x1,x6).
att(x1,x13).
att(x1,x15).
att(x1,x17).
att(x1,x19).
att(x1,x22).
att(x1,x29).
att(x1,x30).
att(x1,x31).
att(x1,x32).
att(x3,x5).
att(x3,x9).
att(x3,x11).
att(x3,x21).
att(x3,x28).
att(x5,x10).
att(x6,x7).
att(x6,x8).
att(x6,x12).
att(x6,x18).
att(x6,x25).
att(x6,x33).
att(x7,x14).
att(x7,x20).
att(x7,x27).
att(x8,x26).
att(x11,x16).
att(x11,x24).
att(x15,x23).
att(x18,x34).

str(x0,11).
str(x1,3).
str(x2,19).
str(x3,16).
str(x4,2).
str(x5,19).
str(x6,15).
str(x7,19).
str(x8,16).
str(x9,16).
str(x10,2).
str(x11,4).
str(x12,6).
str(x13,5).
str(x14,3).
str(x15,17).
str(x16,3).
str(x17,12).
str(x18,17).
str(x19,7).
str(x20,19).
str(x21,1).
str(x22,14).
str(x23,8).
str(x24,13).
str(x25,12).
str(x26,15).
str(x27,18).
str(x28,18).
str(x29,1).
str(x30,6).
str(x31,17).
str(x32,12).
str(x33,2).
str(x34,18).
