arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).
arg(x50).
arg(x51).
arg(x52).
arg(x53).
arg(x54).
arg(x55).
arg(x56).
arg(x57).
arg(x58).
arg(x59).

att(x0,x1).
att(x1,x2).
att(x1,x5).
att(x1,x7).
att(x1,x20).
att(x1,x43).
att(x1,x47).
att(x2,x3).
att(x3,x4).
att(x3,x6).
att(x3,x10).
att(x3,x11).
att(x3,x13).
att(x3,x21).
att(x3,x58).
att(x4,x9).
att(x4,x14).
att(x4,x37).
att(x4,x42).
att(x5,x15).
att(x5,x17).
att(x5,x18).
att(x5,x23).
att(x5,x24).
att(x5,x25).
att(x5,x35).
att(x5,x56).
att(x6,x8).
att(x6,x33).
att(x6,x39).
att(x8,x12).
att(x8,x16).
att(x8,x22).
att(x8,x31).
att(x8,x48).
att(x10,x30).
att(x10,x54).
att(x13,x32).
att(x13,x46).
att(x13,x53).
att(x15,x19).
att(x15,x27).
att(x16,x36).
att(x17,x28).
att(x17,x29).
att(x19,x26).
att(x21,x34).
att(x21,x38).
att(x26,x40).
att(x31,x41).
att(x33,x44).
att(x34,x45).
att(x34,x55).
att(x43,x49).
att(x43,x51).
att(x43,x52).
att(x44,x57).
att(x45,x50).
att(x50,x59).

str(x0,6).
str(x1,1).
str(x2,10).
str(x3,18).
str(x4,10).
str(x5,14).
str(x6,7).
str(x7,12).
str(x8,14).
str(x9,10).
str(x10,16).
str(x11,10).
str(x12,3).
str(x13,10).
str(x14,4).
str(x15,10).
str(x16,17).
str(x17,8).
str(x18,5).
str(x19,9).
str(x20,7).
str(x21,11).
str(x22,10).
str(x23,8).
str(x24,15).
str(x25,10).
str(x26,2).
str(x27,12).
str(x28,14).
str(x29,13).
str(x30,2).
str(x31,3).
str(x32,8).
str(x33,19).
str(x34,13).
str(x35,11).
str(x36,2).
str(x37,14).
str(x38,5).
str(x39,9).
str(x40,10).
str(x41,15).
str(x42,6).
str(x43,4).
str(x44,3).
str(x45,17).
str(x46,17).
str(x47,9).
str(x48,9).
str(x49,3).
str(x50,7).
str(x51,8).
str(x52,10).
str(x53,3).
str(x54,8).
str(x55,17).
str(x56,3).
str(x57,11).
str(x58,3).
str(x59,2).
