arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).
arg(x50).
arg(x51).
arg(x52).
arg(x53).
arg(x54).
arg(x55).
arg(x56).
arg(x57).
arg(x58).
arg(x59).
arg(x60).
arg(x61).
arg(x62).
arg(x63).
arg(x64).

att(x0,x1).
att(x1,x2).
att(x1,x5).
att(x1,x18).
att(x1,x19).
att(x1,x21).
att(x1,x36).
att(x1,x39).
att(x1,x45).
att(x1,x56).
att(x1,x61).
att(x2,x3).
att(x2,x4).
att(x2,x7).
att(x2,x11).
att(x2,x51).
att(x3,x6).
att(x3,x8).
att(x3,x10).
att(x3,x20).
att(x3,x24).
att(x3,x29).
att(x3,x42).
att(x3,x47).
att(x3,x55).
att(x3,x57).
att(x4,x33).
att(x4,x41).
att(x5,x34).
att(x5,x46).
att(x6,x9).
att(x6,x17).
att(x6,x23).
att(x6,x26).
att(x6,x38).
att(x7,x16).
att(x7,x25).
att(x7,x52).
att(x8,x13).
att(x8,x14).
att(x8,x15).
att(x10,x12).
att(x14,x43).
att(x16,x30).
att(x17,x22).
att(x18,x28).
att(x21,x44).
att(x24,x27).
att(x24,x31).
att(x24,x32).
att(x24,x48).
att(x24,x50).
att(x26,x37).
att(x26,x53).
att(x26,x64).
att(x32,x35).
att(x35,x40).
att(x38,x54).
att(x38,x60).
att(x44,x49).
att(x44,x59).
att(x55,x58).
att(x59,x62).
att(x61,x63).

str(x0,10).
str(x1,2).
str(x2,11).
str(x3,5).
str(x4,19).
str(x5,14).
str(x6,2).
str(x7,18).
str(x8,4).
str(x9,15).
str(x10,19).
str(x11,14).
str(x12,8).
str(x13,14).
str(x14,2).
str(x15,14).
str(x16,9).
str(x17,2).
str(x18,15).
str(x19,14).
str(x20,12).
str(x21,2).
str(x22,16).
str(x23,4).
str(x24,9).
str(x25,3).
str(x26,14).
str(x27,3).
str(x28,19).
str(x29,17).
str(x30,19).
str(x31,2).
str(x32,10).
str(x33,19).
str(x34,11).
str(x35,1).
str(x36,8).
str(x37,14).
str(x38,13).
str(x39,12).
str(x40,5).
str(x41,8).
str(x42,14).
str(x43,5).
str(x44,10).
str(x45,18).
str(x46,19).
str(x47,9).
str(x48,16).
str(x49,2).
str(x50,7).
str(x51,13).
str(x52,9).
str(x53,2).
str(x54,4).
str(x55,19).
str(x56,11).
str(x57,2).
str(x58,7).
str(x59,1).
str(x60,7).
str(x61,12).
str(x62,16).
str(x63,12).
str(x64,6).
