arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x7).
att(x1,x21).
att(x1,x23).
att(x1,x24).
att(x1,x25).
att(x2,x8).
att(x2,x10).
att(x2,x22).
att(x2,x27).
att(x3,x4).
att(x3,x11).
att(x3,x13).
att(x3,x19).
att(x3,x20).
att(x3,x30).
att(x3,x34).
att(x4,x5).
att(x4,x6).
att(x4,x15).
att(x4,x17).
att(x4,x28).
att(x4,x31).
att(x5,x33).
att(x8,x9).
att(x8,x12).
att(x8,x14).
att(x8,x29).
att(x11,x16).
att(x13,x26).
att(x15,x18).
att(x30,x32).

str(x0,10).
str(x1,6).
str(x2,9).
str(x3,14).
str(x4,16).
str(x5,12).
str(x6,7).
str(x7,17).
str(x8,18).
str(x9,10).
str(x10,5).
str(x11,12).
str(x12,6).
str(x13,15).
str(x14,6).
str(x15,4).
str(x16,6).
str(x17,17).
str(x18,12).
str(x19,12).
str(x20,6).
str(x21,17).
str(x22,9).
str(x23,3).
str(x24,6).
str(x25,14).
str(x26,18).
str(x27,3).
str(x28,2).
str(x29,10).
str(x30,13).
str(x31,7).
str(x32,5).
str(x33,8).
str(x34,13).
