arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).
arg(x50).
arg(x51).
arg(x52).
arg(x53).
arg(x54).
arg(x55).
arg(x56).
arg(x57).
arg(x58).
arg(x59).
arg(x60).
arg(x61).
arg(x62).
arg(x63).
arg(x64).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x4).
att(x1,x7).
att(x1,x17).
att(x1,x30).
att(x1,x38).
att(x1,x47).
att(x1,x54).
att(x1,x56).
att(x2,x12).
att(x2,x40).
att(x2,x41).
att(x3,x6).
att(x3,x9).
att(x3,x16).
att(x3,x24).
att(x3,x25).
att(x3,x26).
att(x3,x27).
att(x3,x29).
att(x3,x59).
att(x4,x5).
att(x4,x13).
att(x4,x20).
att(x4,x21).
att(x4,x32).
att(x4,x44).
att(x5,x8).
att(x5,x28).
att(x7,x10).
att(x7,x49).
att(x8,x11).
att(x8,x14).
att(x8,x15).
att(x8,x46).
att(x8,x52).
att(x9,x18).
att(x12,x19).
att(x12,x53).
att(x14,x22).
att(x14,x51).
att(x16,x35).
att(x16,x37).
att(x16,x42).
att(x16,x57).
att(x18,x23).
att(x19,x50).
att(x23,x58).
att(x24,x31).
att(x27,x36).
att(x28,x34).
att(x28,x43).
att(x28,x61).
att(x28,x64).
att(x29,x45).
att(x29,x63).
att(x31,x62).
att(x32,x33).
att(x34,x48).
att(x38,x39).
att(x39,x55).
att(x51,x60).

str(x0,9).
str(x1,8).
str(x2,7).
str(x3,11).
str(x4,7).
str(x5,15).
str(x6,17).
str(x7,15).
str(x8,19).
str(x9,4).
str(x10,14).
str(x11,4).
str(x12,16).
str(x13,16).
str(x14,1).
str(x15,13).
str(x16,14).
str(x17,12).
str(x18,10).
str(x19,2).
str(x20,11).
str(x21,13).
str(x22,17).
str(x23,18).
str(x24,13).
str(x25,15).
str(x26,1).
str(x27,18).
str(x28,18).
str(x29,2).
str(x30,5).
str(x31,11).
str(x32,13).
str(x33,10).
str(x34,2).
str(x35,3).
str(x36,8).
str(x37,13).
str(x38,7).
str(x39,18).
str(x40,14).
str(x41,5).
str(x42,12).
str(x43,8).
str(x44,14).
str(x45,17).
str(x46,14).
str(x47,10).
str(x48,11).
str(x49,17).
str(x50,18).
str(x51,13).
str(x52,19).
str(x53,4).
str(x54,12).
str(x55,7).
str(x56,5).
str(x57,12).
str(x58,17).
str(x59,19).
str(x60,12).
str(x61,1).
str(x62,2).
str(x63,14).
str(x64,17).
