arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).

att(x0,x1).
att(x1,x2).
att(x1,x22).
att(x1,x26).
att(x1,x29).
att(x1,x38).
att(x2,x3).
att(x2,x4).
att(x2,x6).
att(x2,x19).
att(x2,x40).
att(x3,x5).
att(x3,x7).
att(x3,x23).
att(x3,x39).
att(x4,x14).
att(x4,x17).
att(x4,x21).
att(x4,x34).
att(x4,x45).
att(x6,x13).
att(x6,x15).
att(x6,x16).
att(x6,x30).
att(x6,x31).
att(x6,x33).
att(x6,x47).
att(x7,x8).
att(x7,x9).
att(x7,x11).
att(x7,x12).
att(x7,x18).
att(x7,x25).
att(x8,x10).
att(x8,x20).
att(x8,x37).
att(x8,x41).
att(x8,x42).
att(x11,x32).
att(x11,x36).
att(x13,x24).
att(x14,x43).
att(x16,x49).
att(x23,x27).
att(x25,x28).
att(x25,x46).
att(x31,x35).
att(x34,x44).
att(x34,x48).

str(x0,15).
str(x1,7).
str(x2,15).
str(x3,10).
str(x4,18).
str(x5,18).
str(x6,7).
str(x7,3).
str(x8,10).
str(x9,7).
str(x10,16).
str(x11,1).
str(x12,2).
str(x13,19).
str(x14,1).
str(x15,17).
str(x16,6).
str(x17,14).
str(x18,10).
str(x19,5).
str(x20,6).
str(x21,1).
str(x22,15).
str(x23,16).
str(x24,7).
str(x25,16).
str(x26,13).
str(x27,14).
str(x28,13).
str(x29,5).
str(x30,5).
str(x31,16).
str(x32,13).
str(x33,15).
str(x34,9).
str(x35,18).
str(x36,12).
str(x37,17).
str(x38,14).
str(x39,6).
str(x40,11).
str(x41,18).
str(x42,12).
str(x43,14).
str(x44,9).
str(x45,18).
str(x46,17).
str(x47,1).
str(x48,17).
str(x49,11).
