arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).
arg(x50).
arg(x51).
arg(x52).
arg(x53).
arg(x54).
arg(x55).
arg(x56).
arg(x57).
arg(x58).
arg(x59).
arg(x60).
arg(x61).
arg(x62).
arg(x63).
arg(x64).
arg(x65).
arg(x66).
arg(x67).
arg(x68).
arg(x69).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x9).
att(x1,x10).
att(x1,x11).
att(x1,x16).
att(x1,x18).
att(x1,x35).
att(x1,x43).
att(x1,x44).
att(x1,x56).
att(x1,x60).
att(x1,x62).
att(x1,x68).
att(x2,x8).
att(x2,x22).
att(x2,x26).
att(x3,x4).
att(x3,x6).
att(x3,x7).
att(x3,x23).
att(x3,x27).
att(x3,x33).
att(x3,x50).
att(x3,x57).
att(x3,x63).
att(x3,x66).
att(x3,x69).
att(x4,x5).
att(x4,x36).
att(x4,x37).
att(x4,x40).
att(x4,x51).
att(x4,x54).
att(x5,x17).
att(x5,x19).
att(x5,x32).
att(x5,x47).
att(x7,x13).
att(x7,x14).
att(x7,x15).
att(x7,x20).
att(x7,x48).
att(x9,x12).
att(x9,x21).
att(x9,x38).
att(x9,x41).
att(x16,x28).
att(x17,x30).
att(x17,x42).
att(x17,x49).
att(x17,x64).
att(x18,x25).
att(x18,x59).
att(x21,x29).
att(x23,x24).
att(x23,x45).
att(x24,x39).
att(x24,x55).
att(x29,x52).
att(x30,x31).
att(x32,x61).
att(x33,x34).
att(x37,x46).
att(x38,x58).
att(x46,x53).
att(x47,x65).
att(x61,x67).

str(x0,5).
str(x1,18).
str(x2,14).
str(x3,4).
str(x4,19).
str(x5,16).
str(x6,18).
str(x7,15).
str(x8,14).
str(x9,12).
str(x10,11).
str(x11,10).
str(x12,7).
str(x13,16).
str(x14,10).
str(x15,18).
str(x16,3).
str(x17,6).
str(x18,12).
str(x19,2).
str(x20,10).
str(x21,8).
str(x22,6).
str(x23,7).
str(x24,5).
str(x25,1).
str(x26,6).
str(x27,5).
str(x28,1).
str(x29,12).
str(x30,18).
str(x31,12).
str(x32,3).
str(x33,2).
str(x34,5).
str(x35,10).
str(x36,5).
str(x37,8).
str(x38,2).
str(x39,7).
str(x40,13).
str(x41,15).
str(x42,8).
str(x43,9).
str(x44,17).
str(x45,5).
str(x46,4).
str(x47,14).
str(x48,11).
str(x49,6).
str(x50,2).
str(x51,6).
str(x52,16).
str(x53,13).
str(x54,19).
str(x55,16).
str(x56,1).
str(x57,5).
str(x58,19).
str(x59,3).
str(x60,7).
str(x61,12).
str(x62,12).
str(x63,4).
str(x64,8).
str(x65,11).
str(x66,18).
str(x67,4).
str(x68,6).
str(x69,13).
