arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x7).
att(x1,x11).
att(x1,x18).
att(x1,x20).
att(x1,x23).
att(x2,x12).
att(x2,x22).
att(x3,x4).
att(x3,x6).
att(x3,x14).
att(x3,x26).
att(x3,x32).
att(x3,x36).
att(x3,x42).
att(x4,x5).
att(x5,x16).
att(x6,x8).
att(x6,x9).
att(x6,x13).
att(x6,x15).
att(x6,x27).
att(x6,x35).
att(x6,x39).
att(x6,x44).
att(x7,x25).
att(x8,x10).
att(x8,x17).
att(x8,x40).
att(x10,x19).
att(x10,x24).
att(x10,x29).
att(x10,x33).
att(x10,x34).
att(x10,x38).
att(x13,x21).
att(x13,x41).
att(x14,x31).
att(x17,x37).
att(x18,x28).
att(x22,x30).
att(x26,x43).

str(x0,5).
str(x1,17).
str(x2,3).
str(x3,9).
str(x4,11).
str(x5,3).
str(x6,1).
str(x7,7).
str(x8,6).
str(x9,1).
str(x10,1).
str(x11,2).
str(x12,1).
str(x13,10).
str(x14,17).
str(x15,1).
str(x16,10).
str(x17,9).
str(x18,2).
str(x19,14).
str(x20,8).
str(x21,11).
str(x22,1).
str(x23,18).
str(x24,15).
str(x25,7).
str(x26,3).
str(x27,18).
str(x28,16).
str(x29,8).
str(x30,5).
str(x31,2).
str(x32,12).
str(x33,1).
str(x34,12).
str(x35,13).
str(x36,5).
str(x37,16).
str(x38,12).
str(x39,2).
str(x40,14).
str(x41,2).
str(x42,15).
str(x43,15).
str(x44,11).
