arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x5).
att(x1,x11).
att(x1,x15).
att(x1,x29).
att(x2,x10).
att(x2,x12).
att(x2,x24).
att(x3,x4).
att(x3,x13).
att(x3,x14).
att(x3,x17).
att(x3,x20).
att(x5,x6).
att(x5,x7).
att(x5,x8).
att(x5,x22).
att(x5,x25).
att(x5,x26).
att(x6,x9).
att(x6,x16).
att(x6,x18).
att(x6,x21).
att(x6,x23).
att(x8,x27).
att(x17,x19).
att(x20,x28).

str(x0,1).
str(x1,15).
str(x2,11).
str(x3,7).
str(x4,13).
str(x5,4).
str(x6,8).
str(x7,11).
str(x8,18).
str(x9,4).
str(x10,17).
str(x11,2).
str(x12,10).
str(x13,2).
str(x14,17).
str(x15,19).
str(x16,19).
str(x17,14).
str(x18,1).
str(x19,4).
str(x20,18).
str(x21,6).
str(x22,10).
str(x23,19).
str(x24,5).
str(x25,9).
str(x26,15).
str(x27,16).
str(x28,17).
str(x29,7).
