arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x4).
att(x1,x5).
att(x1,x6).
att(x1,x9).
att(x1,x10).
att(x1,x12).
att(x1,x14).
att(x1,x15).
att(x1,x17).
att(x1,x18).
att(x1,x19).
att(x1,x20).
att(x2,x23).
att(x3,x8).
att(x3,x13).
att(x4,x7).
att(x4,x21).
att(x5,x11).
att(x6,x24).
att(x8,x16).
att(x14,x22).

str(x0,6).
str(x1,11).
str(x2,8).
str(x3,3).
str(x4,13).
str(x5,12).
str(x6,10).
str(x7,5).
str(x8,6).
str(x9,15).
str(x10,6).
str(x11,7).
str(x12,10).
str(x13,4).
str(x14,17).
str(x15,11).
str(x16,16).
str(x17,8).
str(x18,8).
str(x19,17).
str(x20,4).
str(x21,8).
str(x22,12).
str(x23,1).
str(x24,4).
