arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x4).
att(x1,x5).
att(x1,x7).
att(x1,x10).
att(x1,x11).
att(x1,x13).
att(x1,x16).
att(x1,x18).
att(x1,x19).
att(x2,x8).
att(x2,x9).
att(x3,x6).
att(x3,x14).
att(x8,x12).
att(x11,x15).
att(x15,x17).

str(x0,17).
str(x1,6).
str(x2,9).
str(x3,19).
str(x4,15).
str(x5,9).
str(x6,16).
str(x7,1).
str(x8,13).
str(x9,4).
str(x10,2).
str(x11,18).
str(x12,2).
str(x13,12).
str(x14,12).
str(x15,17).
str(x16,14).
str(x17,5).
str(x18,16).
str(x19,5).
