arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).

att(x1,x9).
att(x2,x1).
att(x2,x5).
att(x2,x13).
att(x4,x14).
att(x5,x6).
att(x6,x14).
att(x6,x15).
att(x7,x1).
att(x7,x2).
att(x7,x14).
att(x8,x1).
att(x8,x11).
att(x9,x1).
att(x11,x3).
att(x11,x4).
att(x12,x2).
att(x13,x3).
att(x14,x5).
att(x14,x13).
att(x15,x3).
att(x15,x10).
att(x15,x12).

str(x1,6).
str(x2,1).
str(x3,10).
str(x4,13).
str(x5,16).
str(x6,16).
str(x7,7).
str(x8,2).
str(x9,2).
str(x10,13).
str(x11,13).
str(x12,13).
str(x13,14).
str(x14,14).
str(x15,12).
